,GAMEID,Visitor,VisitorScore,Home,HomeScore,Date
0,0,Lakers,109,Pacers,94,2010-12-15
1,1,Celtics,118,Knicks,116,2010-12-15
2,2,Clippers,91,76ers,105,2010-12-15
3,3,Bulls,110,Raptors,93,2010-12-15
4,4,Cavaliers,95,Heat,101,2010-12-15
5,5,Bobcats,80,Grizzlies,113,2010-12-15
6,6,Kings,91,Hornets,94,2010-12-15
7,7,Rockets,105,Thunder,117,2010-12-15
8,8,Bucks,90,Spurs,92,2010-12-15
9,9,Timberwolves,122,Suns,128,2010-12-15
10,10,Trail Blazers,98,Mavericks,103,2010-12-15
11,11,Wizards,89,Nets,97,2010-12-16
12,12,Hawks,90,Celtics,102,2010-12-16
13,13,Spurs,113,Nuggets,112,2010-12-16
14,14,Cavaliers,99,Pacers,108,2010-12-17
15,15,Heat,113,Knicks,91,2010-12-17
16,16,Lakers,93,76ers,81,2010-12-17
17,17,Nets,92,Raptors,98,2010-12-17
18,18,Bobcats,85,Hawks,90,2010-12-17
19,19,Clippers,109,Pistons,88,2010-12-17
20,20,Jazz,71,Hornets,100,2010-12-17
21,21,Kings,87,Thunder,102,2010-12-17
22,22,Grizzlies,87,Rockets,103,2010-12-17
23,23,Suns,91,Mavericks,106,2010-12-17
24,24,Timberwolves,102,Trail Blazers,107,2010-12-17
25,25,76ers,97,Magic,89,2010-12-18
26,26,Heat,95,Wizards,94,2010-12-18
27,27,Knicks,102,Cavaliers,109,2010-12-18
28,28,Clippers,100,Bulls,99,2010-12-18
29,29,Jazz,95,Bucks,86,2010-12-18
30,30,Grizzlies,106,Spurs,112,2010-12-18
31,31,Timberwolves,113,Nuggets,115,2010-12-18
32,32,Warriors,95,Trail Blazers,96,2010-12-18
33,33,Pacers,88,Celtics,99,2010-12-19
34,34,Hawks,82,Nets,89,2010-12-19
35,35,Lakers,120,Raptors,110,2010-12-19
36,36,Hornets,108,Pistons,111,2010-12-19
37,37,Rockets,102,Kings,93,2010-12-19
38,38,Suns,113,Thunder,110,2010-12-19
39,39,Magic,81,Hawks,91,2010-12-20
40,40,Jazz,101,Cavaliers,90,2010-12-20
41,41,Hornets,93,Pacers,94,2010-12-20
42,42,Bobcats,75,Wizards,108,2010-12-20
43,43,Mavericks,98,Heat,96,2010-12-20
44,44,Suns,110,Spurs,118,2010-12-20
45,45,Bucks,80,Trail Blazers,106,2010-12-20
46,46,Rockets,121,Warriors,112,2010-12-20
47,47,Timberwolves,90,Clippers,113,2010-12-20
48,48,Thunder,99,Bobcats,81,2010-12-21
49,49,Mavericks,105,Magic,99,2010-12-21
50,50,76ers,76,Bulls,121,2010-12-21
51,51,Nets,101,Grizzlies,94,2010-12-21
52,52,Warriors,117,Kings,109,2010-12-21
53,53,Bucks,98,Lakers,79,2010-12-21
54,54,Cavaliers,84,Hawks,98,2010-12-22
55,55,Pistons,115,Raptors,93,2010-12-22
56,56,Bulls,87,Wizards,80,2010-12-22
57,57,76ers,80,Celtics,84,2010-12-22
58,58,Thunder,98,Knicks,112,2010-12-22
59,59,Jazz,112,Timberwolves,107,2010-12-22
60,60,Nets,91,Hornets,105,2010-12-22
61,61,Nuggets,103,Spurs,109,2010-12-22
62,62,Rockets,97,Clippers,92,2010-12-22
63,63,Spurs,101,Magic,123,2010-12-23
64,64,Bucks,84,Kings,79,2010-12-23
65,65,Heat,95,Suns,83,2010-12-23
66,66,Bulls,95,Knicks,103,2010-12-25
67,67,Celtics,78,Magic,86,2010-12-25
68,68,Heat,96,Lakers,80,2010-12-25
69,69,Nuggets,106,Thunder,114,2010-12-25
70,70,Trail Blazers,102,Warriors,109,2010-12-25
71,71,Suns,103,Clippers,108,2010-12-26
72,72,Timberwolves,98,Cavaliers,97,2010-12-26
73,73,Bulls,95,Pistons,92,2010-12-26
74,74,Grizzlies,104,Pacers,90,2010-12-26
75,75,Hawks,86,Hornets,93,2010-12-26
76,76,Wizards,80,Spurs,94,2010-12-26
77,77,76ers,95,Nuggets,89,2010-12-26
78,78,Pistons,100,Bobcats,105,2010-12-27
79,79,Magic,104,Nets,88,2010-12-27
80,80,Raptors,85,Grizzlies,96,2010-12-27
81,81,Hawks,95,Bucks,80,2010-12-27
82,82,Hornets,98,Timberwolves,113,2010-12-27
83,83,Mavericks,103,Thunder,93,2010-12-27
84,84,Wizards,93,Rockets,100,2010-12-27
85,85,Trail Blazers,96,Jazz,91,2010-12-27
86,86,Clippers,100,Kings,99,2010-12-27
87,87,76ers,95,Warriors,110,2010-12-27
88,88,Magic,110,Cavaliers,95,2010-12-28
89,89,Celtics,95,Pacers,83,2010-12-28
90,90,Knicks,98,Heat,106,2010-12-28
91,91,Bucks,77,Bulls,90,2010-12-28
92,92,Raptors,84,Mavericks,76,2010-12-28
93,93,Lakers,82,Spurs,97,2010-12-28
94,94,Trail Blazers,77,Nuggets,95,2010-12-28
95,95,Warriors,93,Hawks,103,2010-12-29
96,96,Cavaliers,92,Bobcats,101,2010-12-29
97,97,Pacers,90,Wizards,104,2010-12-29
98,98,Celtics,92,Pistons,104,2010-12-29
99,99,Nuggets,119,Timberwolves,113,2010-12-29
100,100,Lakers,103,Hornets,88,2010-12-29
101,101,Nets,93,Thunder,114,2010-12-29
102,102,Heat,125,Rockets,119,2010-12-29
103,103,76ers,123,Suns,110,2010-12-29
104,104,Grizzlies,98,Kings,100,2010-12-29
105,105,Jazz,103,Clippers,95,2010-12-29
106,106,Knicks,103,Magic,112,2010-12-30
107,107,Spurs,99,Mavericks,93,2010-12-30
108,108,Jazz,89,Trail Blazers,100,2010-12-30
109,109,Hornets,83,Celtics,81,2010-12-31
110,110,Warriors,96,Bobcats,95,2010-12-31
111,111,Wizards,86,Pacers,95,2010-12-31
112,112,Nets,81,Bulls,90,2010-12-31
113,113,Raptors,105,Rockets,114,2010-12-31
114,114,Hawks,94,Thunder,103,2010-12-31
115,115,Pistons,75,Suns,92,2010-12-31
116,116,76ers,98,Lakers,102,2010-12-31
117,117,Hornets,92,Wizards,81,2011-01-01
118,118,Cavaliers,91,Bulls,100,2011-01-01
119,119,Warriors,107,Heat,114,2011-01-01
120,120,Nets,88,Timberwolves,103,2011-01-01
121,121,Thunder,74,Spurs,101,2011-01-01
122,122,Mavericks,87,Bucks,99,2011-01-01
123,123,Kings,86,Nuggets,104,2011-01-01
124,124,Grizzlies,92,Jazz,98,2011-01-01
125,125,Pacers,92,Knicks,98,2011-01-02
126,126,Hawks,107,Clippers,98,2011-01-02
127,127,Celtics,93,Raptors,79,2011-01-02
128,128,Mavericks,104,Cavaliers,95,2011-01-02
129,129,Rockets,85,Trail Blazers,100,2011-01-02
130,130,Suns,89,Kings,94,2011-01-02
131,131,Grizzlies,104,Lakers,85,2011-01-02
132,132,Heat,96,Bobcats,82,2011-01-03
133,133,Warriors,90,Magic,110,2011-01-03
134,134,Timberwolves,93,Celtics,96,2011-01-03
135,135,76ers,77,Hornets,84,2011-01-03
136,136,Rockets,106,Nuggets,113,2011-01-03
137,137,Pistons,97,Jazz,102,2011-01-03
138,138,Bucks,89,Heat,101,2011-01-04
139,139,Spurs,115,Knicks,128,2011-01-04
140,140,Raptors,91,Bulls,111,2011-01-04
141,141,Thunder,105,Grizzlies,110,2011-01-04
142,142,Trail Blazers,81,Mavericks,84,2011-01-04
143,143,Hawks,108,Kings,102,2011-01-04
144,144,Pistons,83,Lakers,108,2011-01-04
145,145,Raptors,120,Cavaliers,105,2011-01-05
146,146,Bulls,94,Nets,96,2011-01-05
147,147,Bucks,87,Magic,97,2011-01-05
148,148,Wizards,97,76ers,109,2011-01-05
149,149,Spurs,103,Celtics,105,2011-01-05
150,150,Bobcats,108,Timberwolves,105,2011-01-05
151,151,Warriors,110,Hornets,103,2011-01-05
152,152,Trail Blazers,103,Rockets,100,2011-01-05
153,153,Hawks,110,Jazz,87,2011-01-05
154,154,Lakers,99,Suns,95,2011-01-05
155,155,Nuggets,93,Clippers,106,2011-01-05
156,156,Thunder,99,Mavericks,95,2011-01-06
157,157,Nuggets,102,Kings,122,2011-01-06
158,158,Spurs,90,Pacers,87,2011-01-07
159,159,Bulls,99,76ers,105,2011-01-07
160,160,Nets,77,Wizards,97,2011-01-07
161,161,Raptors,102,Celtics,122,2011-01-07
162,162,Rockets,95,Magic,110,2011-01-07
163,163,Jazz,99,Grizzlies,110,2011-01-07
164,164,Trail Blazers,108,Timberwolves,98,2011-01-07
165,165,Heat,101,Bucks,95,2011-01-07
166,166,Knicks,121,Suns,96,2011-01-07
167,167,Cavaliers,98,Warriors,116,2011-01-07
168,168,Hornets,97,Lakers,101,2011-01-07
169,169,Pacers,93,Hawks,108,2011-01-08
170,170,Wizards,89,Bobcats,104,2011-01-08
171,171,Bucks,115,Nets,92,2011-01-08
172,172,76ers,109,Pistons,112,2011-01-08
173,173,Celtics,79,Bulls,90,2011-01-08
174,174,Grizzlies,100,Thunder,109,2011-01-08
175,175,Magic,117,Mavericks,107,2011-01-08
176,176,Jazz,103,Rockets,99,2011-01-08
177,177,Kings,112,Raptors,118,2011-01-09
178,178,Warriors,91,Clippers,105,2011-01-09
179,179,Timberwolves,91,Spurs,94,2011-01-09
180,180,Cavaliers,100,Suns,108,2011-01-09
